trial_num,stimulus_1,stimulus_2,stimulus_3,condition
46,tasks/spatial/Spatial_symbolic/Spatial_ListA/pyjamas.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/ratchet.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/ruby.jpg,E
47,tasks/spatial/Spatial_symbolic/Spatial_ListA/sailfish.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/saturn.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/sunglasses.jpg,D
48,tasks/spatial/Spatial_symbolic/Spatial_ListA/seahorse.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/taco.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/tag.jpg,D
49,tasks/spatial/Spatial_symbolic/Spatial_ListA/stingray.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/termite.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/tomato.jpg,D
50,tasks/spatial/Spatial_symbolic/Spatial_ListA/toolbox.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/unicycle.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/urn.jpg,E
51,tasks/spatial/Spatial_symbolic/Spatial_ListA/trowel.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/vines.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/weel.jpg,E
52,tasks/spatial/Spatial_symbolic/Spatial_ListA/well.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/yogurt.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/yoyo.jpg,E
53,tasks/spatial/Spatial_symbolic/Spatial_ListA/weasel.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/walker.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/binoculars.jpg,D
54,tasks/spatial/Spatial_symbolic/Spatial_ListA/stapler.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/tortilla.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/tube.jpg,D
55,tasks/spatial/Spatial_symbolic/Spatial_ListA/sword.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/plants.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/telescope.jpg,E
56,tasks/spatial/Spatial_symbolic/Spatial_ListA/rifle.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/bench.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/cane.jpg,D
