trial_num,prime,target,foil1,foil2
43,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/pot.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cymbals.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/turtle.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/chair.jpg
44,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/lemon.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/mailbox.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/umbrella.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/celery.jpg
45,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/crab.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/spoon.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/vacuum.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/carrot.jpg
46,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/guitar.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/purse.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/vest.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/camera.jpg
47,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/parrot.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/scissors.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/violin.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/camel.jpg
48,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/snail.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/vest.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/vulture.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cake.jpg
49,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/hat.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/turkey.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/wallet.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/bottle.jpg
50,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/saw.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/box.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/whale.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/belt.jpg
51,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/bed.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/xylophone.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/whistle.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/guitar.jpg
52,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/fork.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/ring.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/wool.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/beans.jpg
53,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/corkscrew.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/suitcase.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/xylophone.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/bat.jpg
54,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/starfish.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/umbrella.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/yacht.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/banana.jpg
55,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/squirrel.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/treadmill.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/towel.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cookie.jpg
56,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/lion.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/muffin.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/skis.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/baboon.jpg
