trial_number,prime,target,semstr_category,semstr,dist1,dist2,list_AB,semantic_trials_loop.thisRepN,semantic_trials_loop.thisTrialN,semantic_trials_loop.thisN,semantic_trials_loop.thisIndex,Trial_start,Position1,Position2,Position3,key_response.keys,key_response.corr,Fixation duration,wordlist,participant,session,frameRate,expName,date,
91,xxxx,xxxx,0,0.0,xxxx,xxxx,A,0,20,20,90,134.172960997,0,-0.5,0.5,None,0,3.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
89,xxxx,xxxx,0,0.0,xxxx,xxxx,A,0,21,21,88,141.655640841,0.5,-0.5,0,None,0,3.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
66,pond,duck,2,0.24,almond,hurt,A,0,22,22,65,148.639652967,0,-0.5,0.5,None,0,1.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
36,sting,mosquito,1,0.01,tune,harvest,A,0,23,23,35,154.126727819,0.5,-0.5,0,None,0,3.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
61,night,owl,2,0.31,almond,tea,A,0,24,24,60,161.610044956,-0.5,0.5,0,None,0,3.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
71,shrimp,seafood,2,0.25,gravy,mattress,A,0,25,25,70,169.091897011,0,0.5,-0.5,None,0,3.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
65,planet,jupiter,2,0.47,chisel,wagon,A,0,26,26,64,176.075820923,0,-0.5,0.5,None,0,3.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
80,wool,sheep,2,0.29,pane,snot,A,0,27,27,79,183.059824944,-0.5,0,0.5,None,0,1.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
5,blouse,sleeve,1,0.01,towel,patio,A,0,28,28,4,188.54756999,-0.5,0.5,0,None,0,2.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
52,hound,fox,2,0.21,keg,sharpener,A,0,29,29,51,194.533439875,0,0.5,-0.5,None,0,2.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
98,xxxx,xxxx,0,0.0,xxxx,xxxx,A,0,30,30,97,200.519599915,-0.5,0,0.5,None,0,2.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
78,travel,luggage,2,0.21,thorn,telescope,A,0,31,31,77,206.505590916,0.5,-0.5,0,None,0,3.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
34,saw,axe,1,0.02,cabin,giraffe,A,0,32,32,33,213.489524841,0.5,-0.5,0,None,0,2.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
58,mountain,hill,2,0.43,church,update,A,0,33,33,57,219.974745989,-0.5,0,0.5,None,0,2.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
49,fork,knife,2,0.33,acorn,grape,A,0,34,34,48,225.960941792,0.5,0,-0.5,None,0,3.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
28,plan,mission,1,0.01,suit,coffin,A,0,35,35,27,232.944430828,-0.5,0.5,0,None,0,2.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
53,ice,igloo,2,0.29,cigar,cork,A,0,36,36,52,238.931052923,-0.5,0,0.5,None,0,1.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
76,sugar,cane,2,0.27,tone,vein,A,0,37,37,75,244.417957783,0.5,0,-0.5,None,0,3.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
12,god,temple,1,0.06,lamb,knocker,A,0,38,38,11,251.901027918,0,0.5,-0.5,None,0,3.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
57,milk,cow,2,0.35,wasp,salt,A,0,39,39,56,258.885127783,-0.5,0,0.5,None,0,1.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
6,bomb,timer,1,0.01,bracelet,honey,A,0,40,40,5,264.372666836,0.5,-0.5,0,None,0,3.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
87,xxxx,xxxx,0,0.0,xxxx,xxxx,A,0,41,41,86,271.855018854,0.5,-0.5,0,None,0,3.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
40,wax,polish,1,0.14,ranch,cabin,A,0,42,42,39,278.838959932,0.5,-0.5,0,None,0,3.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
38,string,bow,1,0.05,wheat,trash,A,0,43,43,37,285.822825909,-0.5,0.5,0,None,0,3.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
88,xxxx,xxxx,0,0.0,xxxx,xxxx,A,0,44,44,87,293.305964947,0.5,-0.5,0,None,0,2.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
16,insect,maggot,1,0.05,shears,syringe,A,0,45,45,15,299.790846825,0,-0.5,0.5,None,0,1.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
56,lock,key,2,0.26,jigsaw,oar,A,0,46,46,55,305.278096914,0,0.5,-0.5,None,0,2.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
11,door,gate,1,0.08,sphinx,morning,A,0,47,47,10,311.264441967,-0.5,0.5,0,None,0,2.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
60,mud,puddle,2,0.2,tablet,bug,A,0,48,48,59,317.250169992,0.5,-0.5,0,None,0,3.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
10,doll,toy,1,0.09,bagel,protein,A,0,49,49,9,324.234600782,-0.5,0,0.5,None,0,2.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
39,wallet,pouch,1,0.01,appliance,kite,A,0,50,50,38,330.719379902,0,0.5,-0.5,None,0,2.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
20,lemon,slice,1,0.01,knocker,cubicle,A,0,51,51,19,337.204640865,0,0.5,-0.5,None,0,2.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
7,castle,throne,1,0.02,van,flute,A,0,52,52,6,343.190948009,-0.5,0,0.5,None,0,2.0,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
90,xxxx,xxxx,0,0.0,xxxx,xxxx,A,0,53,53,89,349.176949978,0,-0.5,0.5,None,0,1.5,A,,001,60.1449454089,Semantic_Task,2017_Oct_23_1336,
