region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15
L_5m_ROI,16973.2397201137,16892.8229512238,16526.9206203173,16697.974859833,17534.788220241,18546.1111133609,19320.5903325848,19801.7628761252,19500.9298981833,19176.4725972635,18767.2157165549,18489.8065934347,18556.5479758821,18694.2423275937,18229.4281633076
L_5mv_ROI,17106.1098707025,16518.3993714014,16254.1421553229,16745.1890406499,17693.3678018117,18622.8544578363,19326.3445094163,19758.3467491314,19537.277285457,19146.3150350135,18718.3461714451,18395.3594047303,18253.6177137068,17930.8993009866,17123.1715309561
L_23c_ROI,17280.6070174212,16933.4267674358,16734.6681841502,17213.2284239,18032.8879250628,18866.124967076,19568.1120769591,20176.6135394771,19942.1811208786,19435.5483501741,18986.5645961588,18740.8714044583,18656.6578283082,18260.2424686483,17339.696966397
L_5L_ROI,17660.099940818,17728.4616591084,17568.2521021958,17966.9031174549,18988.6100814975,20207.2402474271,21141.1869182834,21591.4274918063,21343.3312657843,20772.3180364048,20232.3514156566,19825.5749729227,19767.5842875078,19713.7433914025,19151.8902321914
L_24dd_ROI,16503.5981432212,16663.7215166039,16615.6586484808,17006.4057169681,17670.2038427056,18529.8136056805,19162.7699599489,19507.7447625177,19244.288014408,18813.7660816862,18613.3286687097,18427.2976271861,18216.2156475168,17763.8820436764,17012.0997141253
L_24dv_ROI,16494.6357386397,16090.2755538085,15816.7218897551,16063.2253691724,16686.3375247656,17665.7464096534,18469.855097561,18881.1205842732,18668.8832221962,18294.4921638082,17961.3113729908,17625.4452463138,17282.7443373804,16878.5372485612,16218.6494140329
L_7AL_ROI,17684.3419885179,17840.7989565204,17716.9215056419,18220.7327975065,19275.3428964631,20593.907290305,21586.0946573153,22060.5698862071,21635.7498431889,20969.8250398478,20343.2550414389,20019.0149550092,20030.8980315883,19898.2453003439,19241.4651499769
L_SCEF_ROI,17004.6156457031,16864.7910501924,16541.1233514893,16778.0433291415,17354.6365005372,18083.0115321391,18760.1199005716,19014.7751512514,18785.9332288577,18442.9175962493,18181.1481122491,17869.4131452086,17550.5987452146,17205.4613627847,16783.1817863218
L_6ma_ROI,17582.4465134405,17262.5215192528,16953.1857679186,17144.564465627,17700.8915181823,18603.3507590028,19471.5357444642,19773.4949770454,19458.9474218077,19119.5122431504,18884.890930547,18598.9633633279,18260.7400022379,17968.6132573198,17572.8870038827
L_7Am_ROI,18717.0238502163,18934.8065812186,19184.4296553975,19936.3278489371,21059.0790320992,22374.8791442622,23460.6190401099,24086.7104370884,23632.0401702354,22835.7468134222,22168.5755501809,21751.9497454786,21679.3870076242,21648.7022251039,21130.473640331
L_7PL_ROI,19300.4540657681,19454.2558331716,19385.529526693,20159.0732358436,21723.5723479906,23507.3917435775,24804.4721482999,25344.7502882931,24825.8409460238,23707.9522849433,22810.5274522633,22545.0362123289,22544.2566019585,22148.0071601697,21052.6431030114
L_7PC_ROI,17153.2109895132,17195.2283978113,17007.4849265204,17526.1806007401,18678.5522984377,19922.1529719427,20894.2669146207,21345.5376855565,20946.7025698837,20227.8219041406,19622.9771712055,19298.4710512375,19282.7408259728,19246.8883390406,18646.7973126457
