region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15
148,17526.5413705108,17189.6175883917,16417.957912804,16273.325471556,16881.2107516109,18008.8956711571,19124.225286903,19764.2930431901,19378.2219061731,18772.4985079589,18412.7376614471,18163.0160169537,17978.3649713099,17817.7609178189,17579.61953293
149,19486.0535446256,18952.4230731672,18512.2763789552,18821.4474103746,19909.1797300044,21733.3861812632,23372.5446460239,24807.4660196637,23650.5851883555,22516.8421600923,22275.9286306381,22194.6753895418,22194.8558611701,21826.0266213211,20909.371912132
150,17177.9832891254,17015.9936788403,16899.9773879475,17427.608060423,18308.6563231365,19312.9443763327,20148.1525867123,20394.4752853613,20027.9787313722,19514.9566808669,19120.5201154449,18811.700555121,18973.7192558076,19253.897589168,18595.3028451941
151,16174.4266828926,15658.9930298193,15325.3931701244,15334.7104179419,15523.3859421151,15780.4416253271,16507.7875426444,17057.9119801137,16877.2026345506,16494.6185085894,16131.3847464817,16005.4770892622,16017.5491189441,15777.5609885323,15391.3920717068
152,18035.4330197082,18224.494582696,18300.7860332335,19283.6109396011,20844.9674289459,22661.4297007988,23886.8730916002,24504.131434313,24054.8591806957,22907.0998185775,22050.8686869104,21681.3227554799,21650.0962723349,21357.3907057702,20454.948859064
153,19655.9690384885,19887.575215601,20170.5539665343,21038.1680344798,22065.3409727314,23383.9359485722,24845.422546776,25552.112542845,24895.1545563211,23647.6929948212,22458.7378517142,21658.6576525024,21347.2475102466,21069.0839531562,19871.0274463648
154,14000.648994771,15296.4041519264,15584.7007815357,15531.556294896,15781.2293070034,16198.3802608416,16957.8594972697,17473.194645563,17073.1690217515,16668.0008820184,16587.2892279868,16730.807422899,16670.1367166635,16577.1597161151,16361.9803431596
155,18443.3583580169,18252.5163512567,18225.6184991629,18896.7765874865,19974.1557067826,21205.9596800743,22298.8642804859,22886.4822682946,22435.9252494381,21505.6461938292,20716.3754810828,20006.3300932889,19537.3103937922,19337.3704626261,18815.3217978799
156,18777.6315270713,18681.2445665487,18630.3008080611,19247.2510579831,20547.7388279715,22366.7027793762,23963.2703965819,24680.1673502898,24122.8819351567,22879.1009154119,21998.2094086433,21483.8011240574,21209.9768850471,21038.2036990192,20249.7234037208
157,17295.6225867825,16990.9011631929,16807.908955271,17061.1661083506,17533.4692199082,18111.3952726534,18814.564214147,19012.4440629334,18640.2555246746,18349.0839145303,18248.0578950258,17936.1447028177,17540.9972008011,17123.9996808396,16290.6793221872
158,16430.8052122723,16038.7528653129,15632.5650344109,15828.6163162203,16437.8198752013,17262.1213522875,17889.690059014,18122.500482128,17921.673818809,17634.9879036639,17478.3521614791,17294.3298790303,17157.406125821,17049.5604872138,16657.5555396903
159,16213.1284151877,15809.5858741119,15612.8046399992,15696.416068825,16075.034088317,16541.4206868686,17064.7699380679,17535.5834245032,17207.7798526198,16689.5092269211,16434.1766092646,16401.2763679099,16377.8287279327,16200.0700379209,15913.5892372301
160,15898.8756916915,15479.5903876619,15681.0200706113,16356.3791063541,16987.8242655837,17388.1376338185,17799.6651482644,18163.2763811005,17954.0703782779,17602.891392174,17331.6726621111,17366.3009762802,17663.3345464458,17722.0223279024,17066.5216754915
161,19260.5194533822,19222.5361561164,19379.2200023934,20235.503397083,21656.2297644666,23441.5723625344,25355.244739459,26465.619255279,25693.0212906192,24689.4930449762,24176.2282545556,23875.793477586,23526.77969541,23129.6342706173,22206.0575898628
162,18480.2999256063,18235.231704657,18070.7212178448,18673.503575909,19888.7035761991,21637.2080914775,23228.0536532336,24164.361483466,23449.8398861029,22339.7288170878,21850.5632998669,21605.1245134554,21460.2321343937,21253.8130103057,20816.0809369119
163,18111.7295083526,17649.8505476061,17113.5757984681,17128.5493564335,17473.3929649048,17826.6364039967,18452.3560141203,19367.5590739722,19288.2326868406,19133.748969765,19109.1256333201,19102.1366691194,19146.9676719493,18986.2171889498,18525.2667704592
164,16549.4653536247,16140.9495962945,15703.5189003603,15882.6790512132,16436.1288853159,17146.2267097201,17623.8584287484,18149.8441785998,17891.1781374759,17374.7054691969,16973.7196951074,16870.8590307936,16838.1647038836,16808.9222179656,16474.4368884767
165,15475.3007278246,15637.9233601968,15181.8188116075,15401.8867605126,16216.5641317021,17262.3674512103,18248.489511269,18741.9223997923,18274.4395998083,17481.1766339119,16831.787374429,16467.8983020472,16280.7383375078,16388.4921904093,16027.7382794213
166,18084.298469428,17847.4110628291,17446.555878659,17840.5496949498,18919.4646841982,20329.5503005338,21503.3610072565,22192.1208615904,21637.9182480161,20637.6711910106,20178.3957212537,20020.9440642943,19964.2947814328,19980.3565876016,19565.5068846611
167,18348.9925088302,18375.976752174,18252.5162422255,18622.6405236504,19617.328252776,20857.1675057413,22213.512341291,22983.4576306348,22590.4751501346,21833.1129755536,21320.7226618247,21099.123973381,21020.5647300797,20896.1887210275,20373.7075008192
168,18670.8481976448,18203.3419779048,17411.8840562578,17503.6900652463,18311.9431783071,19714.9921875432,21109.402437447,22308.1791035223,21231.4695439327,20378.7150384385,20273.4834116862,20412.9474486275,20453.128974258,20483.0888451795,19922.0106582875
169,15927.7719311274,15704.3636113605,15488.9899764044,15644.6908053846,16094.4166875162,16751.3071887791,17395.5138205925,17750.701460245,17581.0263395687,17239.4221747741,16790.9316214255,16339.9564913942,16091.0660749217,15872.5473547443,15240.5821922888
170,18257.0399597424,18439.405023653,18540.9747184342,19257.5900191031,20517.9154166452,22213.2671688349,24015.5598459766,24989.1219944976,24178.1869509225,22908.0280019236,21905.3679750074,21253.0697520435,20831.438791297,20694.0227479722,19889.6549791583
171,16546.4311057771,15858.0888321057,15612.7705484051,16034.5719945363,16790.1481234253,17657.0532638864,18405.5217593527,18755.274035446,18616.9866085076,18215.2224816852,17675.5234249679,17244.1714223927,17147.4964466443,17127.6351225936,16681.8097256189
172,16550.495061706,16967.4112064329,17233.733971102,18007.038820288,19123.6960731799,20317.2417834954,21209.6552706304,21565.1891474133,21298.5149900104,20601.9480865936,19719.8346508981,18981.4639960616,18653.2018895358,18507.5003730395,17929.413280902
173,14983.1310668277,14208.0887105683,14062.0034008806,14432.8224936332,15094.2653882018,15812.0051291618,16238.0201563635,16579.5453648073,16409.2820877548,15984.2375214127,15554.3190848337,15361.8059538773,15547.3138566721,15659.3257052154,15289.8597910027
174,19009.4633795846,18026.0593600767,17324.1929043973,17412.5709610254,18107.084345552,19063.5402856832,20019.0889056063,20623.1528324533,20299.6752665707,20001.9686850065,20010.3328991129,20309.5680892405,20579.6780989638,20472.5075418813,19731.401367138
175,16335.8744697542,16082.7985428402,15932.1013706766,16258.1952652756,16634.9844088105,17049.2721447524,17384.79666123,17702.704397564,17648.0528196177,17436.047614449,17592.4361423611,17486.8922078203,17574.1624726679,17574.6572093373,17147.4737879517
176,19741.421374152,19239.4593145911,18758.2354629786,19008.4708626654,19942.5867172167,21486.0402263278,23045.5835736908,24209.3093239464,23210.666346725,22275.1833787961,22035.880602814,21860.9540750938,21753.493436859,21435.5696475967,20446.4665818689
177,17481.0689283429,17195.8737899059,17211.2427909289,17663.8649759769,18140.3736746861,18418.1145228212,18624.6832549237,19173.1257836895,18933.7608104211,18593.6722185569,18417.0639496248,18297.8303284904,18320.7474129272,18226.1937494391,17679.8952815382
178,18310.6070791969,17728.5258000281,17168.9332570733,17485.6291982953,18434.7893035305,19520.5397290866,20375.3155285413,21055.1770781779,20515.9587998349,20036.0663329385,19893.0939234116,19816.6225602991,19814.7661373067,19620.8999096423,18884.4487906294
179,17723.5980434256,17157.2766176043,16940.9590669243,17538.326829601,18487.4100994556,18982.9755157786,19557.5168070035,20156.7160591349,19870.4780782843,19333.4097599881,18785.1214406246,18573.8293892278,18669.5136123554,18357.6591077417,17457.9762062796
180,18540.0659106882,18255.426734499,17783.4279074246,18307.8961095142,19643.470356765,21591.6535952406,23346.4251638238,24212.4463271222,23441.0616893395,22189.2089319977,21342.7502729378,20968.369086166,20884.6904222866,20737.8152660854,19692.5320794046
181,19024.1023901055,18726.0313280554,18141.699604018,18468.138156569,19368.6471710852,20566.8078626161,21572.7218272904,22103.5076145904,21746.8008772282,21169.3682883303,20717.9640127125,20321.0995218675,20061.3874454754,19999.1020635528,19609.3199179653
182,17669.9789714632,17957.6804080908,18018.8618514728,18676.8635451078,19803.3369849845,21091.4979013784,22205.2284638472,22511.8861652058,22162.9466309354,21581.1644639985,20956.8771559666,20162.3951327234,19634.5981618273,19581.9087311123,19166.887450338
183,16180.8255793567,15990.3194495179,15979.8561241575,16450.1747091229,17140.9792032515,17952.4083773218,18614.1934057186,18877.2485689862,18585.1813649773,18284.546768995,17928.9710053324,17668.0302554517,17897.620356209,18300.7532579247,17727.8468017011
184,18646.7409089216,18449.2004268004,18207.0671192605,18755.0374287624,20058.8464042567,21780.9916164599,22942.0703334697,23631.8114589892,23062.5068357274,22130.222443772,21459.4147453705,21002.3919159071,20824.6534097405,20746.7262654594,20153.1537037375
185,19414.029360533,19237.1177661711,19062.905612276,19791.6907577617,20974.5899633462,22590.8893206102,24315.2512407341,25507.6676073972,24682.5231775479,23716.6073158449,23402.7581942906,23094.2840298566,23030.1623436218,22675.2550153258,21931.724434894
186,16817.9968528309,16882.1069815591,16888.2069923845,17691.6070612866,18904.8278556257,20158.1040411473,21049.8668654716,21581.2552423529,21178.7668921313,20456.8128683877,19777.6934845529,19423.009538906,19556.0595138925,19590.2048508377,18852.8870120567
187,16891.0281832945,17007.489426858,17118.661378443,17202.7106052925,17345.6326879956,17775.5738426043,18065.5536078464,18234.3836761713,18019.8577209613,17624.2421628711,17598.5254655073,17695.9470270181,17594.5046198523,17164.9702894057,16518.3725532047
188,16525.8937063809,16564.6906337995,16651.9677183241,17362.0547472498,18516.3306256848,19937.1892741287,20938.4755484025,21285.8424467844,20972.3455484644,20369.6133032681,19525.1143101588,18853.4699944964,18651.2266124967,18571.7005885402,17782.693426324
189,16029.1502727514,15717.2202698188,15603.3746842134,16077.624442457,16821.2934573608,17576.7165482498,18217.1445856163,18591.2340901427,18285.0291644214,17895.7143838114,17512.7488441204,17220.9852402662,17333.9010549154,17577.283170659,16983.3188152511
190,17220.917069174,16672.9321291154,16378.4093969343,16671.797549337,17308.2709929125,18103.9632810957,18815.4908065279,19068.6381153389,18876.1560370081,18502.0990766776,18116.8477689193,17835.8428247017,17774.0808301458,17782.4076749038,17396.1144866971
191,18825.8202629665,19505.1460819773,20469.9616201737,21699.2624164896,22232.5369461062,23097.094707636,24405.1279034798,25078.6100087647,24438.31906007,23188.4295612293,21895.3395186553,21070.4512727942,20824.5319514573,20523.0138274865,19506.1670263868
192,16447.5532993227,16491.2441289129,16235.1947898338,16883.6873242875,17981.1329380665,19306.6148418966,20206.7667057049,20787.7184615229,20369.7246996337,19836.8941850491,19366.5677546226,19089.3567052729,19018.9158755269,18950.7426385559,18312.6699693915
