Time,Trial_Number,Condition,Fixation,Fixation_Duration,Stim_ID,Subject_Response,Accuracy,Reaction_Time
89.08246050495654,25,similar,OFF,--,019b.jpg,--,--,--
90.4816089529777,25,similar,OFF,--,--,similar,1,1.3991484480211511
,,,,,,,,
91.59027874295134,26,similar,ON,1.5747448910260573,--,--,--,--
93.1650236339774,26,similar,OFF,--,031b.jpg,--,--,--
94.98830106295645,26,similar,OFF,--,--,old,0,1.823277428979054
,,,,,,,,
95.6727680969052,27,old,ON,1.246205602074042,--,--,--,--
96.91897369897924,27,old,OFF,--,010a.jpg,--,--,--
98.5593229229562,27,old,OFF,--,--,old,1,1.6403492239769548
,,,,,,,,
99.42713835299946,28,similar,ON,0.9133629909483716,--,--,--,--
100.34050134394784,28,similar,OFF,--,035b.jpg,--,--,--
101.52228155790363,28,similar,OFF,--,--,old,0,1.1817802139557898
,,,,,,,,
102.84826850693207,29,similar,ON,1.093871838063933,--,--,--,--
103.942140344996,29,similar,OFF,--,006b.jpg,--,--,--
106.34655588900205,29,similar,OFF,--,--,old,0,2.404415544006042
,,,,,,,,
106.44977043999825,30,old,ON,1.4789059800095856,--,--,--,--
107.92867642000783,30,old,OFF,--,040a.jpg,--,--,--
