0.0005 	WARNING 	Monitor specification not found. Creating a temporary one...
0.0088 	EXP 	Created RS fixation cross = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([0.00392157, 0.00392157, 0.00392157]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font=list(...), fontFiles=[], height=0.16, italic=False, languageStyle='LTR', name='RS fixation cross', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
1.7143 	DATA 	Keypress: 5
3.3789 	DATA 	Keypress: 5
5.0688 	DATA 	Keypress: 5
6.7589 	DATA 	Keypress: 5
8.4489 	DATA 	Keypress: 5
10.1390 	DATA 	Keypress: 5
11.8288 	DATA 	Keypress: 5
13.5189 	DATA 	Keypress: 5
15.2092 	DATA 	Keypress: 5
16.8987 	DATA 	Keypress: 5
18.5888 	DATA 	Keypress: 5
20.2780 	DATA 	Keypress: 5
21.9679 	DATA 	Keypress: 5
23.6578 	DATA 	Keypress: 5
25.3481 	DATA 	Keypress: 5
27.0377 	DATA 	Keypress: 5
28.7279 	DATA 	Keypress: 5
30.4179 	DATA 	Keypress: 5
32.1078 	DATA 	Keypress: 5
33.7978 	DATA 	Keypress: 5
35.4880 	DATA 	Keypress: 5
37.1778 	DATA 	Keypress: 5
38.8678 	DATA 	Keypress: 5
40.5578 	DATA 	Keypress: 5
42.2480 	DATA 	Keypress: 5
43.9378 	DATA 	Keypress: 5
45.6279 	DATA 	Keypress: 5
47.3180 	DATA 	Keypress: 5
49.0079 	DATA 	Keypress: 5
50.6980 	DATA 	Keypress: 5
52.3877 	DATA 	Keypress: 5
54.0769 	DATA 	Keypress: 5
55.7671 	DATA 	Keypress: 5
57.4569 	DATA 	Keypress: 5
59.1470 	DATA 	Keypress: 5
60.8368 	DATA 	Keypress: 5
62.5269 	DATA 	Keypress: 5
64.2168 	DATA 	Keypress: 5
65.9068 	DATA 	Keypress: 5
67.5968 	DATA 	Keypress: 5
69.2868 	DATA 	Keypress: 5
70.9767 	DATA 	Keypress: 5
72.6669 	DATA 	Keypress: 5
74.3568 	DATA 	Keypress: 5
76.0470 	DATA 	Keypress: 5
77.7370 	DATA 	Keypress: 5
79.4269 	DATA 	Keypress: 5
81.1168 	DATA 	Keypress: 5
82.8068 	DATA 	Keypress: 5
84.4967 	DATA 	Keypress: 5
86.1870 	DATA 	Keypress: 5
87.8767 	DATA 	Keypress: 5
89.5684 	DATA 	Keypress: 5
91.2559 	DATA 	Keypress: 5
92.9464 	DATA 	Keypress: 5
94.6358 	DATA 	Keypress: 5
96.3262 	DATA 	Keypress: 5
98.0162 	DATA 	Keypress: 5
99.7063 	DATA 	Keypress: 5
101.3964 	DATA 	Keypress: 5
103.0860 	DATA 	Keypress: 5
104.7761 	DATA 	Keypress: 5
106.4666 	DATA 	Keypress: 5
108.1557 	DATA 	Keypress: 5
109.8458 	DATA 	Keypress: 5
111.5360 	DATA 	Keypress: 5
113.2258 	DATA 	Keypress: 5
114.9158 	DATA 	Keypress: 5
116.6059 	DATA 	Keypress: 5
118.2959 	DATA 	Keypress: 5
119.9860 	DATA 	Keypress: 5
121.6759 	DATA 	Keypress: 5
123.3658 	DATA 	Keypress: 5
125.0547 	DATA 	Keypress: 5
126.7449 	DATA 	Keypress: 5
128.4350 	DATA 	Keypress: 5
130.1248 	DATA 	Keypress: 5
131.8149 	DATA 	Keypress: 5
133.5050 	DATA 	Keypress: 5
135.1948 	DATA 	Keypress: 5
136.8848 	DATA 	Keypress: 5
138.5748 	DATA 	Keypress: 5
140.2648 	DATA 	Keypress: 5
141.9548 	DATA 	Keypress: 5
143.6450 	DATA 	Keypress: 5
145.3348 	DATA 	Keypress: 5
147.0250 	DATA 	Keypress: 5
148.7151 	DATA 	Keypress: 5
150.4048 	DATA 	Keypress: 5
152.0947 	DATA 	Keypress: 5
153.7848 	DATA 	Keypress: 5
155.4748 	DATA 	Keypress: 5
157.1648 	DATA 	Keypress: 5
158.8538 	DATA 	Keypress: 5
160.5438 	DATA 	Keypress: 5
162.2338 	DATA 	Keypress: 5
163.9239 	DATA 	Keypress: 5
165.6139 	DATA 	Keypress: 5
167.3039 	DATA 	Keypress: 5
168.9938 	DATA 	Keypress: 5
170.6837 	DATA 	Keypress: 5
172.3741 	DATA 	Keypress: 5
174.0637 	DATA 	Keypress: 5
175.7539 	DATA 	Keypress: 5
177.4442 	DATA 	Keypress: 5
179.1337 	DATA 	Keypress: 5
180.8238 	DATA 	Keypress: 5
182.5140 	DATA 	Keypress: 5
184.2038 	DATA 	Keypress: 5
185.8939 	DATA 	Keypress: 5
187.5838 	DATA 	Keypress: 5
189.2739 	DATA 	Keypress: 5
190.9640 	DATA 	Keypress: 5
192.6538 	DATA 	Keypress: 5
194.3429 	DATA 	Keypress: 5
196.0327 	DATA 	Keypress: 5
197.7231 	DATA 	Keypress: 5
199.4129 	DATA 	Keypress: 5
201.1029 	DATA 	Keypress: 5
202.7928 	DATA 	Keypress: 5
204.4827 	DATA 	Keypress: 5
206.1729 	DATA 	Keypress: 5
207.8628 	DATA 	Keypress: 5
209.5530 	DATA 	Keypress: 5
211.2431 	DATA 	Keypress: 5
212.9331 	DATA 	Keypress: 5
214.6231 	DATA 	Keypress: 5
216.3128 	DATA 	Keypress: 5
218.0028 	DATA 	Keypress: 5
219.6929 	DATA 	Keypress: 5
221.3829 	DATA 	Keypress: 5
223.0728 	DATA 	Keypress: 5
224.7630 	DATA 	Keypress: 5
226.4527 	DATA 	Keypress: 5
228.1431 	DATA 	Keypress: 5
229.8317 	DATA 	Keypress: 5
231.5218 	DATA 	Keypress: 5
233.2117 	DATA 	Keypress: 5
234.9019 	DATA 	Keypress: 5
236.5920 	DATA 	Keypress: 5
238.2818 	DATA 	Keypress: 5
239.9718 	DATA 	Keypress: 5
241.6619 	DATA 	Keypress: 5
243.3519 	DATA 	Keypress: 5
245.0420 	DATA 	Keypress: 5
246.7318 	DATA 	Keypress: 5
248.4219 	DATA 	Keypress: 5
250.1118 	DATA 	Keypress: 5
251.8017 	DATA 	Keypress: 5
253.4918 	DATA 	Keypress: 5
255.1818 	DATA 	Keypress: 5
256.8720 	DATA 	Keypress: 5
258.5620 	DATA 	Keypress: 5
260.2518 	DATA 	Keypress: 5
261.9419 	DATA 	Keypress: 5
263.6319 	DATA 	Keypress: 5
265.3209 	DATA 	Keypress: 5
267.0107 	DATA 	Keypress: 5
268.7008 	DATA 	Keypress: 5
270.3909 	DATA 	Keypress: 5
272.0812 	DATA 	Keypress: 5
273.7708 	DATA 	Keypress: 5
275.4610 	DATA 	Keypress: 5
277.1510 	DATA 	Keypress: 5
278.8408 	DATA 	Keypress: 5
280.5309 	DATA 	Keypress: 5
282.2207 	DATA 	Keypress: 5
283.9109 	DATA 	Keypress: 5
285.6007 	DATA 	Keypress: 5
287.2908 	DATA 	Keypress: 5
288.9809 	DATA 	Keypress: 5
290.6707 	DATA 	Keypress: 5
292.3608 	DATA 	Keypress: 5
294.0508 	DATA 	Keypress: 5
295.7408 	DATA 	Keypress: 5
297.4312 	DATA 	Keypress: 5
299.1199 	DATA 	Keypress: 5
300.8100 	DATA 	Keypress: 5
302.4999 	DATA 	Keypress: 5
304.1897 	DATA 	Keypress: 5
305.8798 	DATA 	Keypress: 5
307.5700 	DATA 	Keypress: 5
309.2600 	DATA 	Keypress: 5
310.9498 	DATA 	Keypress: 5
312.6400 	DATA 	Keypress: 5
314.3299 	DATA 	Keypress: 5
316.0199 	DATA 	Keypress: 5
317.7098 	DATA 	Keypress: 5
319.3999 	DATA 	Keypress: 5
321.0898 	DATA 	Keypress: 5
322.7798 	DATA 	Keypress: 5
324.4700 	DATA 	Keypress: 5
326.1597 	DATA 	Keypress: 5
327.8498 	DATA 	Keypress: 5
329.5399 	DATA 	Keypress: 5
331.2297 	DATA 	Keypress: 5
332.9198 	DATA 	Keypress: 5
334.6099 	DATA 	Keypress: 5
336.2990 	DATA 	Keypress: 5
337.9887 	DATA 	Keypress: 5
339.6788 	DATA 	Keypress: 5
341.3691 	DATA 	Keypress: 5
343.0589 	DATA 	Keypress: 5
344.7488 	DATA 	Keypress: 5
346.4389 	DATA 	Keypress: 5
348.1289 	DATA 	Keypress: 5
349.8188 	DATA 	Keypress: 5
351.5087 	DATA 	Keypress: 5
353.1988 	DATA 	Keypress: 5
354.8887 	DATA 	Keypress: 5
356.5789 	DATA 	Keypress: 5
358.2688 	DATA 	Keypress: 5
359.9589 	DATA 	Keypress: 5
361.6491 	DATA 	Keypress: 5
363.3390 	DATA 	Keypress: 5
365.0288 	DATA 	Keypress: 5
366.7191 	DATA 	Keypress: 5
368.4088 	DATA 	Keypress: 5
370.0978 	DATA 	Keypress: 5
371.7878 	DATA 	Keypress: 5
373.4777 	DATA 	Keypress: 5
375.1678 	DATA 	Keypress: 5
376.8581 	DATA 	Keypress: 5
378.5479 	DATA 	Keypress: 5
380.2379 	DATA 	Keypress: 5
381.9279 	DATA 	Keypress: 5
383.6177 	DATA 	Keypress: 5
385.3078 	DATA 	Keypress: 5
386.9980 	DATA 	Keypress: 5
388.6880 	DATA 	Keypress: 5
390.3778 	DATA 	Keypress: 5
392.0677 	DATA 	Keypress: 5
393.7577 	DATA 	Keypress: 5
395.4480 	DATA 	Keypress: 5
397.1380 	DATA 	Keypress: 5
398.8280 	DATA 	Keypress: 5
400.5178 	DATA 	Keypress: 5
402.2077 	DATA 	Keypress: 5
403.8979 	DATA 	Keypress: 5
405.5879 	DATA 	Keypress: 5
407.2768 	DATA 	Keypress: 5
408.9667 	DATA 	Keypress: 5
410.6568 	DATA 	Keypress: 5
412.3468 	DATA 	Keypress: 5
414.0369 	DATA 	Keypress: 5
415.7269 	DATA 	Keypress: 5
417.4168 	DATA 	Keypress: 5
419.1070 	DATA 	Keypress: 5
420.7968 	DATA 	Keypress: 5
422.4871 	DATA 	Keypress: 5
423.8282 	DATA 	Keypress: space
423.8590 	EXP 	instruction: text = 'End of task :)\n\nGet ready for the next sequence!'
427.6659 	DATA 	Keypress: 5
427.6699 	DATA 	Keypress: 5
427.6746 	DATA 	Keypress: 5
427.8742 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Hello World', units='height', win=Window(...), wrapWidth=1)
427.9269 	EXP 	instruction: text = "While you were focusing on the previous task, your mind may have\n\nwondered off at times. You will now have to reflect on the thoughts\n\nyou were having as you were engaged in the task. At each trial,\n\nyou will be asked to rate the content of your thoughts on a scale\n\nusing a cursor.\n\nTo move the cursor left: press '2'\nTo move the cursor right: press '4'\n\nWhen you are satisfied with the position of the cursor, press '3'\n\nto confirm your selection.\n\n\nPress any button to continue...\n"
429.2469 	DATA 	Keypress: 5
430.9371 	DATA 	Keypress: 5
432.6268 	DATA 	Keypress: 5
434.3167 	DATA 	Keypress: 5
436.0070 	DATA 	Keypress: 5
437.6968 	DATA 	Keypress: 5
439.3869 	DATA 	Keypress: 5
441.0768 	DATA 	Keypress: 5
442.7661 	DATA 	Keypress: 5
444.4558 	DATA 	Keypress: 5
446.1458 	DATA 	Keypress: 5
446.3338 	DATA 	Keypress: 4
446.3443 	EXP 	instruction: text = 'waiting for scanner...'
447.8359 	DATA 	Keypress: 5
0.0228 	EXP 	window1: mouseVisible = False
0.0960 	EXP 	Created unnamed RatingScale = RatingScale(__class__=type(...), acceptKeys=['3'], acceptPreText=UNKNOWN, acceptSize=UNKNOWN, acceptText=UNKNOWN, autoLog=True, choices=False, colorSpace=UNKNOWN, depth=0, disappear=True, flipVert=False, high=10, kwargs=UNKNOWN, labels=list(...), leftKeys=['2'], lineColor='#3355FF', low=0, marker=ShapeStim(...), markerColor='red', markerExpansion=UNKNOWN, markerStart=5.0, maxTime=6.0, minTime=0.4, mouseOnly=False, name='unnamed RatingScale', noMouse=True, pos=[0.0, -0.4], precision=10, respKeys=[], rightKeys=['4'], scale=None, self=UNKNOWN, showAccept=False, showValue=False, singleClick=False, size=0.6, skipKeys=['tab'], stretch=2.5, textColor='black', textFont='Helvetica Bold', textSize=0.09000000000000001, tickHeight=1, tickMarks=10.0, win=Window(...))
0.1021 	EXP 	unnamed RatingScale: flipVert = False
0.1021 	EXP 	unnamed RatingScale: autoLog = True
0.1021 	EXP 	fixation cross
2.2139 	DATA 	Keypress: 5
2.4428 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.4428 	EXP 	experience sampling probe
2.4556 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.4556 	EXP 	experience sampling probe
2.4699 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.4699 	EXP 	experience sampling probe
2.4860 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.4860 	EXP 	experience sampling probe
2.5012 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.5012 	EXP 	experience sampling probe
2.5172 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.5172 	EXP 	experience sampling probe
2.5340 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.5340 	EXP 	experience sampling probe
2.5511 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.5511 	EXP 	experience sampling probe
2.5677 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.5677 	EXP 	experience sampling probe
2.5843 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.5843 	EXP 	experience sampling probe
2.6011 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.6011 	EXP 	experience sampling probe
2.6181 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.6181 	EXP 	experience sampling probe
2.6339 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.6339 	EXP 	experience sampling probe
2.6508 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.6508 	EXP 	experience sampling probe
2.6677 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.6677 	EXP 	experience sampling probe
2.6842 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.6842 	EXP 	experience sampling probe
2.7011 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.7011 	EXP 	experience sampling probe
2.7176 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.7176 	EXP 	experience sampling probe
2.7345 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.7345 	EXP 	experience sampling probe
2.7508 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.7508 	EXP 	experience sampling probe
2.7674 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.7674 	EXP 	experience sampling probe
2.7840 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.7840 	EXP 	experience sampling probe
2.8010 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.8010 	EXP 	experience sampling probe
2.8177 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.8177 	EXP 	experience sampling probe
2.8343 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.8343 	EXP 	experience sampling probe
2.8511 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.8511 	EXP 	experience sampling probe
2.8675 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.8675 	EXP 	experience sampling probe
2.8843 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.8843 	EXP 	experience sampling probe
2.9008 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.9008 	EXP 	experience sampling probe
2.9174 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.9174 	EXP 	experience sampling probe
2.9339 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.9339 	EXP 	experience sampling probe
2.9511 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.9511 	EXP 	experience sampling probe
2.9677 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.9677 	EXP 	experience sampling probe
2.9841 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
2.9841 	EXP 	experience sampling probe
3.0011 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.0011 	EXP 	experience sampling probe
3.0174 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.0174 	EXP 	experience sampling probe
3.0341 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.0341 	EXP 	experience sampling probe
3.0509 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.0509 	EXP 	experience sampling probe
3.0678 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.0678 	EXP 	experience sampling probe
3.0844 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.0844 	EXP 	experience sampling probe
3.1011 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.1011 	EXP 	experience sampling probe
3.1177 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.1177 	EXP 	experience sampling probe
3.1343 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.1343 	EXP 	experience sampling probe
3.1509 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.1509 	EXP 	experience sampling probe
3.1676 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.1676 	EXP 	experience sampling probe
3.1841 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.1841 	EXP 	experience sampling probe
3.2012 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.2012 	EXP 	experience sampling probe
3.2176 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.2176 	EXP 	experience sampling probe
3.2344 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.2344 	EXP 	experience sampling probe
3.2510 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.2510 	EXP 	experience sampling probe
3.2675 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.2675 	EXP 	experience sampling probe
3.2843 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.2843 	EXP 	experience sampling probe
3.3008 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.3008 	EXP 	experience sampling probe
3.3178 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.3178 	EXP 	experience sampling probe
3.3340 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.3340 	EXP 	experience sampling probe
3.3510 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.3510 	EXP 	experience sampling probe
3.3677 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.3677 	EXP 	experience sampling probe
3.3845 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.3845 	EXP 	experience sampling probe
3.3915 	DATA 	Keypress: 5
3.4001 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.4001 	EXP 	experience sampling probe
3.4176 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.4176 	EXP 	experience sampling probe
3.4343 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.4343 	EXP 	experience sampling probe
3.4512 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.4512 	EXP 	experience sampling probe
3.4678 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.4678 	EXP 	experience sampling probe
3.4843 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.4843 	EXP 	experience sampling probe
3.5011 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.5011 	EXP 	experience sampling probe
3.5176 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.5176 	EXP 	experience sampling probe
3.5341 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.5341 	EXP 	experience sampling probe
3.5507 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.5507 	EXP 	experience sampling probe
3.5675 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.5675 	EXP 	experience sampling probe
3.5845 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.5845 	EXP 	experience sampling probe
3.6010 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.6010 	EXP 	experience sampling probe
3.6178 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.6178 	EXP 	experience sampling probe
3.6342 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.6342 	EXP 	experience sampling probe
3.6509 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.6509 	EXP 	experience sampling probe
3.6679 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.6679 	EXP 	experience sampling probe
3.6839 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.6839 	EXP 	experience sampling probe
3.7009 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.7009 	EXP 	experience sampling probe
3.7177 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.7177 	EXP 	experience sampling probe
3.7343 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.7343 	EXP 	experience sampling probe
3.7511 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.7511 	EXP 	experience sampling probe
3.7677 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.7677 	EXP 	experience sampling probe
3.7842 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.7842 	EXP 	experience sampling probe
3.8010 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.8010 	EXP 	experience sampling probe
3.8173 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.8173 	EXP 	experience sampling probe
3.8345 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.8345 	EXP 	experience sampling probe
3.8511 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.8511 	EXP 	experience sampling probe
3.8677 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.8677 	EXP 	experience sampling probe
3.8842 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.8842 	EXP 	experience sampling probe
3.9009 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.9009 	EXP 	experience sampling probe
3.9177 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.9177 	EXP 	experience sampling probe
3.9343 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.9343 	EXP 	experience sampling probe
3.9507 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.9507 	EXP 	experience sampling probe
3.9678 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.9678 	EXP 	experience sampling probe
3.9843 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.9843 	EXP 	experience sampling probe
3.9994 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
3.9994 	EXP 	experience sampling probe
4.0177 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
4.0177 	EXP 	experience sampling probe
4.0343 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
4.0343 	EXP 	experience sampling probe
4.0511 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
4.0511 	EXP 	experience sampling probe
4.0675 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
4.0675 	EXP 	experience sampling probe
4.0841 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
4.0841 	EXP 	experience sampling probe
4.1013 	EXP 	unnamed TextStim: text = 'My thoughts were distracting me from what I was doing.'
4.1013 	EXP 	experience sampling probe
