8.4497 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
18.1564 	DATA 	Keypress: apostrophe
18.1565 	DATA 	Keypress: semicolon
18.2230 	DATA 	Keypress: k
18.4159 	DATA 	Keypress: k
18.4160 	DATA 	Keypress: d
18.5077 	DATA 	Keypress: f
18.6198 	DATA 	Keypress: j
18.6205 	DATA 	Keypress: d
18.6205 	DATA 	Keypress: s
18.6871 	DATA 	Keypress: f
18.7266 	DATA 	Keypress: l
18.7561 	DATA 	Keypress: k
18.8499 	DATA 	Keypress: j
18.8723 	DATA 	Keypress: f
19.0479 	DATA 	Keypress: j
19.1182 	DATA 	Keypress: l
19.1405 	DATA 	Keypress: k
19.1832 	DATA 	Keypress: d
19.1833 	DATA 	Keypress: s
19.2574 	DATA 	Keypress: a
19.2580 	DATA 	Keypress: j
19.2581 	DATA 	Keypress: f
19.3339 	DATA 	Keypress: l
19.3340 	DATA 	Keypress: k
19.4271 	DATA 	Keypress: j
19.5854 	DATA 	Keypress: j
19.6999 	DATA 	Keypress: l
19.7444 	DATA 	Keypress: k
19.7445 	DATA 	Keypress: f
19.7968 	DATA 	Keypress: j
19.9403 	DATA 	Keypress: l
19.9404 	DATA 	Keypress: k
19.9408 	DATA 	Keypress: f
19.9855 	DATA 	Keypress: j
20.0455 	DATA 	Keypress: d
20.0457 	DATA 	Keypress: s
20.1343 	DATA 	Keypress: f
20.1787 	DATA 	Keypress: j
20.2532 	DATA 	Keypress: s
20.2582 	DATA 	Keypress: a
20.5373 	DATA 	Keypress: j
20.5374 	DATA 	Keypress: f
20.6270 	DATA 	Keypress: s
20.6271 	DATA 	Keypress: a
20.7226 	DATA 	Keypress: j
20.8516 	DATA 	Keypress: semicolon
20.8519 	DATA 	Keypress: l
20.9649 	DATA 	Keypress: j
21.0679 	DATA 	Keypress: semicolon
21.0680 	DATA 	Keypress: l
21.1267 	DATA 	Keypress: j
21.1268 	DATA 	Keypress: f
21.1870 	DATA 	Keypress: a
21.2482 	DATA 	Keypress: l
21.2483 	DATA 	Keypress: k
21.3517 	DATA 	Keypress: j
21.4379 	DATA 	Keypress: semicolon
21.4380 	DATA 	Keypress: l
21.4903 	DATA 	Keypress: j
22.0197 	DATA 	Keypress: escape
23.6837 	DATA 	Keypress: escape
24.1439 	DATA 	Keypress: escape
24.4369 	DATA 	Keypress: escape
24.6660 	DATA 	Keypress: escape
24.8553 	DATA 	Keypress: escape
25.0605 	DATA 	Keypress: escape
25.4650 	DATA 	Keypress: escape
25.7180 	DATA 	Keypress: escape
25.9233 	DATA 	Keypress: escape
26.1365 	DATA 	Keypress: escape
26.3338 	DATA 	Keypress: escape
26.5310 	DATA 	Keypress: escape
26.7283 	DATA 	Keypress: escape
26.9256 	DATA 	Keypress: escape
27.1149 	DATA 	Keypress: escape
27.4715 	DATA 	Keypress: q
27.6687 	DATA 	Keypress: q
27.8500 	DATA 	Keypress: q
28.0552 	DATA 	Keypress: q
