8,7,5,7,8,9,11,13,1,100,100,91,91,90,87,81,73,63,54,47,41,37,35,33,32,30,26,23,19,16,13,10
88,84,81,77,73,69,65,62,59,44,46,51,56,63,72,81,90,94,95,99,100,99,95,92,88,90,91,92,93,93,92,90
81,78,74,70,67,63,60,57,55,48,51,55,60,66,74,82,90,98,95,97,96,93,91,87,84,85,86,87,87,87,85,83
26,23,21,20,19,18,19,19,20,84,87,90,93,95,98,92,91,85,77,71,65,59,56,53,50,48,46,43,40,36,33,29
55,52,49,46,44,42,40,39,38,65,68,72,76,81,85,89,91,91,88,86,82,78,74,71,68,68,67,66,65,63,60,58
23,24,25,26,27,29,31,33,34,67,67,67,65,63,59,55,49,43,39,36,34,32,32,33,33,31,30,28,26,25,24,23
36,37,38,39,40,42,43,44,45,55,54,53,52,49,47,43,40,37,35,35,34,35,36,37,37,37,36,35,35,35,35,35
17,15,13,13,13,14,15,17,18,85,87,90,91,91,90,85,80,72,64,58,51,47,44,42,40,38,35,32,29,25,22,19
16,14,13,13,13,14,15,16,18,85,88,90,92,92,91,88,81,72,64,58,51,47,44,42,40,38,35,32,28,25,22,19
75,71,67,64,60,57,54,52,49,54,57,61,67,73,81,89,94,95,95,97,95,92,89,85,82,83,83,83,83,82,80,78
69,66,63,59,56,53,51,49,47,56,59,63,68,74,80,88,92,98,94,100,90,87,84,81,78,78,78,78,77,76,74,72
52,54,56,57,58,59,60,60,61,39,37,35,32,30,28,27,27,27,29,32,35,37,39,41,43,43,44,45,46,47,49,50
65,66,67,68,68,68,68,68,67,32,30,29,28,27,27,29,31,34,38,42,45,48,50,51,52,53,55,56,58,60,62,64
80,82,83,83,83,82,81,80,78,21,18,17,16,15,18,21,26,33,39,46,51,54,57,59,60,62,65,67,70,73,76,78
87,88,88,88,87,85,83,82,80,20,18,18,17,18,22,28,35,42,49,56,61,64,66,67,67,70,72,75,78,81,83,86
57,60,63,66,68,70,71,72,72,26,22,18,14,9,5,6,3,9,10,16,21,26,30,34,37,38,39,41,44,46,50,53
55,59,63,65,68,70,71,72,72,25,21,17,12,1,6,5,4,1,4,13,18,24,28,32,35,36,38,39,42,45,48,52
41,40,40,40,40,40,40,41,41,60,61,62,62,62,62,61,59,56,54,53,51,49,49,48,48,47,46,45,44,43,42,41
31,31,31,32,33,34,35,37,38,64,64,64,63,61,59,56,52,47,44,41,40,39,38,38,39,37,36,35,33,32,31,31
67,69,72,74,75,75,76,76,75,23,20,17,14,11,10,11,1,18,22,28,33,38,41,44,46,48,50,52,55,58,61,64
65,68,71,73,75,76,76,76,76,22,18,15,11,8,7,7,8,6,17,23,29,34,38,41,44,45,47,49,52,55,58,62
73,73,73,73,72,71,70,69,67,33,32,32,32,32,35,38,43,47,51,55,58,60,61,61,61,63,64,66,68,69,71,72
64,64,64,64,63,62,61,61,60,41,40,41,41,42,44,46,49,51,54,56,57,58,59,59,58,59,60,61,62,63,63,64
37,41,45,49,52,55,58,60,61,37,33,29,23,16,11,7,4,4,1,6,8,12,17,20,24,24,24,25,26,28,31,34
41,44,48,51,55,57,60,61,63,35,31,27,22,15,11,7,4,1,5,3,10,15,19,23,26,26,27,28,29,31,34,37
22,21,21,22,22,24,25,26,28,74,76,76,77,76,73,69,64,58,52,47,44,41,39,38,38,36,34,32,29,27,25,23
33,33,33,33,34,34,35,36,37,65,65,66,66,65,64,62,59,54,51,48,46,44,44,43,43,42,40,39,38,36,35,34
51,48,46,43,41,40,38,37,37,67,69,73,77,81,85,88,89,87,85,82,78,74,71,68,65,65,64,63,61,59,57,54
41,38,35,33,31,30,29,29,29,75,78,82,86,89,94,96,93,88,85,81,75,70,67,63,61,60,58,56,54,51,48,44
11,10,10,11,12,14,1,18,20,83,84,85,85,84,80,75,67,58,50,44,39,36,34,33,32,29,27,24,20,18,15,13
