region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15,intensity_at_surface_16
47,8962.80232214335,11650.4633672519,13251.7539540106,13691.4050409333,13859.6650489119,14157.8972715952,14592.0377432204,15021.3247737556,15343.2425905555,15543.1344342072,15644.0314248099,15557.5789363606,15273.3979829767,15098.8334872924,15205.5195432629,14885.4763850114
48,8990.88390382444,12035.2008795162,14103.4393883033,14630.4216989458,14633.1857125565,14851.2511924723,15352.9506744677,16026.0696264725,16670.3781753721,17126.5838427196,17371.3094708321,17293.1718680382,16900.4015960527,16555.8944968696,16613.8641321558,16312.6964848818
49,9021.95677710066,11657.207257258,14024.8413153189,14926.4758737885,14930.6751085123,14856.8719603192,14976.6073468831,15244.5556080485,15628.3358811669,16017.9225325861,16334.5572824731,16380.231049797,16113.1521097359,15821.9380313302,15701.3108036654,15411.8978206866
50,10526.4908683036,13562.0401059226,15651.7312178325,16339.711798721,16491.550850227,16746.4648265597,17176.0445560051,17644.1915291066,18013.0490877206,18364.5665563951,18792.0605201358,19008.4416222372,18751.4979377872,18485.9710440756,18560.3177222344,18121.9856920428
51,9368.75054938299,12456.8321755127,15234.8333996853,16529.9111984589,16800.2783345667,16878.2162918141,17145.4016442344,17659.4385226775,18272.673174925,18664.0076356468,18743.5447298515,18627.053298296,18309.1787383981,17936.3701370302,17607.4270101614,17208.6859306833
52,11517.5508162922,15265.0310248603,17829.4778449504,18767.1351768086,19157.196428361,19774.2607095192,20780.5726435062,22037.2192041519,23194.7376249082,23999.0946749756,24258.9740308094,23905.0448718028,23020.8070921135,22215.8658708162,21784.4192224247,21010.0859207004
53,10401.081538042,13627.8131520802,15144.8216444915,15375.4133057478,15512.8302694597,15834.9843391879,16335.1609366059,16904.2443314768,17428.0283028679,17697.5630600815,17712.2529469533,17467.4106814601,17032.9371459577,16634.4561229665,16355.9599740842,15690.4546883945
54,11214.2153910285,14300.5965451451,15821.921730908,16205.316060881,16533.3367124079,17113.5157767148,17915.3015551659,18805.7591849219,19609.3983714122,20161.572234441,20240.2933142695,19861.7209104437,19148.9812418338,18564.9930103693,18220.6668623845,17491.1974494944
55,11192.9430149805,14494.1734619231,16645.4831711992,17274.7940930632,17410.3143353313,17748.7760079903,18406.0708880537,19297.0788551588,20188.9789232174,20834.5524126689,21126.7641708817,20905.443644167,20219.391789474,19351.3705293663,18652.9778379117,17945.9668052165
56,11014.3862512826,13510.4158501452,15208.6381844295,15797.7163054788,15941.1315752037,16098.4216350843,16370.6699920293,16657.025953333,16946.2514147961,17210.2746644456,17338.2472199132,17295.6963211122,17195.0587399768,17185.286012417,17078.4878674491,16599.4871074892
57,11806.165221247,15496.1385384144,17454.2562083612,17798.3052149547,17813.1752127479,18184.9838553954,18949.4479238909,19990.9758592743,21072.7330015374,21858.3912059878,22011.4396201116,21550.5276105398,20961.3339461586,20534.7102178242,20215.8675633987,19566.3877727216
58,10753.9065669152,14222.5439499144,16726.4345355087,17678.0383121131,17964.2789039088,18251.9010160066,18839.3473107524,19680.1538090847,20476.0659842934,21028.0061180125,21203.7732080744,20969.5540188148,20486.2856444178,19986.0214748842,19637.6074994266,19166.4473286002
59,9371.71330271478,12278.1284939698,14337.6183932154,15035.0002181625,15206.8928073066,15465.2918982884,15870.5310631809,16290.3550606615,16616.7330304782,16854.8943896281,17108.4335770567,17255.5471804802,17083.9331520564,16785.1273252511,16807.8305354006,16520.1997574172
60,10383.9400159962,12611.995764798,14432.8022729318,15206.416210707,15352.6389076451,15354.3964341203,15426.1607628596,15599.6891801597,15885.0282691005,16293.9729831546,16836.6551829219,17330.5309069177,17492.4625959256,17426.8311649037,17427.9017032472,17148.3684698529
61,11215.3717415797,14423.0160994985,16826.4806523038,17907.285261693,18261.3030554452,18578.4674536452,19013.4706988297,19743.5371445751,20583.3623352812,21322.9766588482,21856.4273218151,21907.6976277805,21455.2010656133,20823.2733470141,20429.1098023234,19958.9829559201
62,10514.7913336815,13528.586022708,15862.246800352,16941.4768979842,17244.89129067,17466.4709050142,17844.3621645274,18356.3585292487,18854.3541498093,19260.3442076301,19550.4450571174,19618.6188254971,19366.9156292097,18955.0337630181,18583.6427804903,17775.5230019533
63,10683.1879543692,13937.1906858797,16083.3588312342,17118.3816585112,17685.6788072836,18219.0967703946,18880.110201602,19550.8403992275,20033.8009080254,20181.9395143276,20110.80199362,19932.4636936429,19791.3787131124,19459.6761934738,18882.2460483207,18100.8085417531
64,11737.0788325019,15130.3285163663,16760.37168947,16998.6192895442,17022.4936079944,17382.0653461991,18166.6977345947,19132.8722422547,20002.3038657409,20528.2336499909,20647.7361424917,20300.8197804406,19675.9499231405,19150.883042699,18799.5092950393,18022.9451325988
65,11394.6140665254,15052.3260567304,17498.0268017456,18107.7829054698,18155.1388835446,18540.0961021445,19295.3605880048,20225.0623933206,21029.9900242746,21579.9558750663,21769.7473990219,21476.0874279491,20820.6710455587,20170.3388697076,19827.5090538857,19236.8340140001
66,9506.6515254289,12125.088062506,14673.9916875515,15753.5063848186,15856.0869603108,15921.3141134614,16231.7802416943,16744.4890028175,17358.2634783764,17864.9324018741,18099.6690987527,18022.5987882327,17686.2571268929,17299.8137386838,16941.0101607007,16341.6425978167
67,9312.61509822613,12794.9590426261,15769.3895410543,17236.0756313348,17909.4237376865,18586.5739395094,19347.4142965102,20098.7756697587,20615.8216086327,20823.8804905545,20734.7914366473,20509.237546346,20017.7830594419,19443.5749223612,19128.9533930252,18533.5388357905
68,11235.613549059,14834.4452644503,17388.8443052904,18429.7474997472,18750.0078656346,19114.3300640305,19814.1474411837,20830.0701743523,21964.2805234326,22846.2711852278,23174.8405515577,22865.5467189693,22190.4150585853,21538.7847229689,20998.4054394838,20317.6138457974
69,11072.3979824403,14161.5822434713,16333.7392056936,16932.3833304931,16926.1903288811,17068.5091193396,17549.9754020339,18337.4986016429,19169.5535955469,19725.8443287187,19949.052960762,19882.8843490248,19608.2405557187,19392.0060144409,19245.0651764531,18739.836298476
70,10612.1488420684,13150.075552207,15309.712692715,16476.1016914293,17042.4096409141,17488.7294759133,18141.3009120121,19006.1045679771,19891.9531561227,20575.379314223,20881.4138033122,20753.8890605635,20370.1325635334,19936.0770724198,19555.1386710262,18896.3833140103
71,11660.7824305626,13515.7444359707,14820.6668311402,15447.3362561349,16040.4169421021,16806.601860572,17579.2223315158,18216.1162560232,18682.8826068435,18899.551047185,19060.1533275225,19155.4302771973,19095.9928762182,19016.9191361121,18738.0951983613,18123.6324435487
72,12948.5931472967,16528.9514548523,18000.7521631271,17792.6003097493,17475.813227204,17644.8136554425,18249.5773937401,19066.2468167171,19850.0458770453,20481.8786298024,20689.9330406964,20520.1468496903,20326.3342717681,20287.5091668261,20196.6145175696,19504.1963599753
73,11714.8491746638,15113.5775903852,16811.1719690105,17093.0970942516,17064.5173780495,17331.8547383302,17856.388010138,18421.8073373251,18897.9461892244,19293.35911405,19559.4700840406,19562.8987060414,19189.5200578199,18727.3622470765,18411.6128680387,17771.5468240415
74,11362.5176924949,14959.5314904784,17377.2330660112,18085.5606753083,18257.9621933332,18690.8947456542,19564.1358478735,20757.8214849615,21929.7649485692,22727.6719380894,22830.3629106205,22275.0205231931,21495.1967748484,20862.2226385359,20501.7277435895,19713.4814313155
75,11686.7892723399,15189.7090020148,17542.8316374773,18125.7469789047,18109.7403208493,18414.1254778807,19227.0688538523,20310.883698733,21387.3556943832,22111.8006441357,22302.3379148477,21922.491430978,21385.2384619621,21021.9114036748,20772.1160109618,20273.2392037673
76,10309.9692414345,13857.9432582228,16014.9921404528,16766.6069695016,17170.6240369961,17718.6088173054,18511.6370127094,19432.1705975842,20189.4924017347,20653.0684021866,20773.5198523857,20516.86269878,19920.1301758127,19290.4674361867,18797.5183249701,18059.898803379
77,10291.5142114478,13678.4357428239,15685.3584575289,16067.277733096,16053.3742223416,16209.2706036226,16600.0761841549,17177.6733348192,17761.1255750083,18127.0899120657,18209.6852563911,18029.2251528941,17692.8416387673,17360.1044918135,17150.9605976209,16781.0468001728
78,11337.48783057,14485.7043041704,17110.641344841,17869.8364270005,17861.8259305214,18044.8577466403,18630.629245279,19484.1038516769,20337.674294835,21004.2182608737,21312.473841226,21172.9749302398,20770.9106128627,20320.742118776,19986.8460096772,19553.0938306422
79,10348.8640255915,13916.3552454495,16596.4593132628,17598.3943687608,17922.7146765567,18375.5722237321,19188.1479976953,20203.6283426259,21095.9983670931,21662.9186462726,21808.2898492106,21495.6888151379,20789.0821207993,19894.6752800746,19280.1784633125,18556.396480189
80,9408.2144057276,12971.6081091352,16028.9446529278,17361.5854380248,17731.1564869329,18207.7567867951,19168.6238212922,20522.480893438,21909.1848312269,22918.0806888825,23267.3986984975,22811.7503812624,21859.5779303646,20916.6374904709,20368.2815606106,19646.5167511615
81,10519.1029972197,13682.0861202346,16239.6450756018,17846.023600797,18621.466783987,19130.3916071745,19653.1099860897,20288.8523715065,20882.4709955646,21233.6614256767,21275.7769786428,21071.0743637587,20765.9141270414,20367.1413444656,19815.9727942723,19035.6534270069
82,9676.11493640962,12570.1873145652,15176.1028396499,16246.6859251214,16378.6601308932,16394.7638674077,16640.3528142154,17154.6289898395,17791.7222522111,18313.0230453198,18545.7300687991,18448.6683947388,18101.7555627786,17685.7009983647,17386.0450612696,16961.8945711627
83,9260.26680541621,12389.8640195583,15359.8032867546,16618.3541333485,16838.9423216463,16939.7722133013,17262.5204210337,17802.9198756787,18394.6892455998,18771.5802574181,18845.1614750681,18696.6870181835,18387.7091107313,18068.3530451947,17786.3502959058,17356.7655900826
84,9954.86306016993,13437.2436798872,16539.739146267,18253.9577871802,18966.9167354165,19626.7952100237,20623.5438108885,21872.9551061433,23110.8350694108,24002.8328162877,24251.2893683273,23785.6206753278,22845.2416557957,21897.7937386119,21304.462129322,20517.4902890468
85,8155.84063525165,10917.7305601604,13063.3361837355,13636.2620119705,13626.0759118845,13770.8486190196,14133.3347943744,14638.3038781525,15112.2511903006,15454.3448130982,15662.0347363367,15638.3796066476,15332.5365280706,15021.5609357354,15052.998060308,14823.0596761597
86,11531.1302899107,14629.665590446,16764.5029009109,17500.9597917301,17735.1049989084,18114.9656308091,18884.3592124731,19937.4948069004,21058.9995548499,21966.2442524982,22355.7974673912,22077.1822973566,21423.2963430503,20786.5017387177,20338.8922109402,19650.655560976
87,10032.2508002263,13316.2237265975,16069.8323153773,17539.2239184781,18209.6113398815,18776.6263728201,19524.5073961624,20365.7932497576,21049.0623725415,21405.6897057654,21362.9926058824,20996.5789046922,20470.5480062053,19857.9278876911,19209.5273050334,18407.7720197708
88,10252.6765651545,13437.8306371883,15393.5313264148,15796.1684878967,16029.7778642484,16533.6261633416,17235.9513472846,17877.3605766754,18229.92472564,18302.9947160485,18230.748672844,17929.7912277134,17573.3606952183,17545.4258869238,17728.3551903048,17214.1332076629
89,9983.11052652206,13053.0989894585,15567.8844638131,16454.2072692207,16671.299704413,16947.2371496637,17516.3601455345,18272.8325253126,18946.2142557861,19374.9367098922,19431.6591158644,19219.0646826545,18862.7533060865,18472.5612076099,18131.9323270149,17632.7816045568
90,10011.0435365315,13503.309957016,15971.34186166,16720.0502633583,16948.3229255979,17354.7213855426,17935.8509502711,18527.73397803,18905.7209003283,19046.2370118372,18979.0339481597,18639.2187959563,18280.890597346,18281.6691456259,18490.6495337024,18057.1900464885
91,11173.1640923576,14494.711754061,16604.2815837677,17162.1148858561,17296.9356370391,17592.9135545013,18228.5062862096,19129.3332793959,20060.3424289576,20715.1784059672,20932.553430862,20635.8972887894,20126.210120723,19748.0400070846,19545.4164472175,19017.7611554174
92,9649.63364776352,12778.9407626095,15149.0616336653,15963.6782718444,16098.9515932659,16299.7611579369,16746.7489190393,17344.010087053,17960.8567000971,18383.2409160337,18481.5804436783,18293.5991622442,17931.3059617228,17575.3292444863,17375.5501956202,17030.2185335911
93,11233.395589164,14115.7143425169,15361.3517072452,15600.6093315088,15794.7531304323,16225.1928673319,16913.7420932378,17673.964192738,18284.343225119,18580.5315413398,18564.5369790312,18238.8655344059,17693.9878759881,17318.0383400524,17216.8545025796,16608.3392643766
94,8453.10497885627,11325.3621768032,13923.3141872242,15072.9425764348,15089.4268760798,14864.4830351793,14805.2148569837,14920.1475282672,15176.1122089086,15567.7423534324,16117.8731512084,16431.839997978,16246.8016713209,15990.5827024868,16079.8981041224,15918.9410015699
95,11415.5093812684,14452.7417608391,16255.9614882934,16892.418666632,17219.1753487757,17724.9487971745,18385.204535765,19000.0039951176,19460.7592040984,19791.4337559276,20017.75253156,20024.7183397602,19737.9829087616,19265.802307068,18890.080505558,18283.0553201071
96,9255.2758298707,11993.6569373858,14362.3875958702,15241.9322173352,15320.0095948678,15218.117328651,15294.2359962569,15593.9881230017,16035.018257662,16495.195192009,16808.8935816609,16848.6860366843,16592.0792077196,16258.6605361113,15996.7946093615,15610.5068627952
