region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15,intensity_at_surface_16
R_4_ROI,10784.4930599526,14067.6388535924,16554.8351243179,17642.7211494074,18090.8632522449,18488.1772957509,18951.982041187,19456.2132241453,19824.3588273365,20001.324849354,19937.5031505178,19751.6572300575,19492.5596171366,19105.7501311849,18479.9716191898,17657.082235747
R_3b_ROI,8855.61372400905,11812.0821775068,14514.8796482735,16245.1322118252,17200.7142229529,17922.3634467363,18698.973941318,19500.039180872,20192.8155153131,20584.8989886092,20635.2524152048,20327.5274400301,19656.9684763936,18847.3728154907,18179.0194093557,17574.0334137529
R_FEF_ROI,10470.1515292548,13914.9278204128,16299.0488324253,16785.7228297474,16661.0685610821,16819.2963241735,17309.3225212136,17964.4611899013,18505.6231266268,18729.8457363132,18744.5375673517,18640.0321440048,18296.5232587779,17925.3736343933,17600.8185144967,17093.6528654336
R_PEF_ROI,10048.0958851608,13369.9380245064,15051.903569024,15093.5209732276,14873.995382395,15012.9634446263,15506.8640020818,16129.4999162307,16671.1010930531,16980.5544118592,17095.9444564752,17025.9101259347,16769.8533138692,16467.7295816369,16221.2422102086,15698.3819333727
R_55b_ROI,9782.50456661278,12874.4454811432,15247.1879167657,16201.6037474856,16347.0036203154,16514.506864924,16926.9641678294,17501.9344133569,17913.4537108222,18160.7077766528,18167.9970505526,18002.6637433368,17734.2656636572,17407.4055341269,17155.4141006312,16780.3257031646
R_V3A_ROI,10270.572365752,14070.3945024229,16824.6316588642,18128.8134638544,18840.0196711514,19643.4096845891,20660.9566174755,21828.2845733693,22866.2200802117,23434.0424542681,23483.3622082402,23052.7342569656,22273.7078912673,21404.1293662083,20639.0975592683,19629.7975771367
R_RSC_ROI,11365.9333717434,14139.7701526077,16241.9366663111,17317.8411513713,17630.18238141,17774.8758375247,18075.4938063168,18512.0984312661,18972.6191263271,19317.9691700322,19723.0760363533,20014.3265136226,19877.4674562741,19486.5206073127,19196.2020659136,18658.724193483
R_POS2_ROI,10109.696145524,13830.939579695,16763.4583380124,17852.1204531077,18125.6121134038,18552.4722555465,19367.3456655102,20406.4915962195,21435.9223315755,22307.1447003486,22750.0768580653,22608.1412423958,21877.0236616284,20826.8680150367,20148.2714605105,19564.979673535
R_V7_ROI,10457.2459304412,14137.560064375,17036.8447514164,18045.873134341,18273.815739688,18725.7859254366,19630.5309825181,20937.6292767202,22264.9255170541,23255.5174321288,23665.7996055962,23299.1764037542,22282.7920814126,21374.7015006649,20903.9724015774,20265.2372960061
R_IPS1_ROI,11098.5679245553,14574.830095306,17302.510721234,18469.1357876878,18926.0539794977,19425.7834030608,20231.7763045774,21408.189316203,22687.7687417608,23572.9895808934,23867.0817576831,23651.2452735375,22850.4921339403,21843.8598285261,21309.3757870134,20637.7072194933
R_FFC_ROI,11583.0312181246,14810.9909067989,17196.8218832152,18054.8237238481,18252.9728647818,18600.205762815,19489.8125063502,20887.1373621443,22527.8975664888,23833.3449864259,24304.7327457114,23791.9357800361,23053.2082176761,22457.3275349565,22031.9185056922,21265.8365378218
R_V3B_ROI,9977.67737218026,13400.8221911499,15493.6060108487,16156.9055087823,16419.4395303224,16930.2436300902,17821.2526076401,19023.6572897227,20119.4046593847,20866.0566496858,21139.3795897055,20858.8107828395,20126.3594846156,19366.3412129064,18826.6826993745,17962.0518013764
R_LO1_ROI,10286.2339135535,14147.647298975,17312.3935085986,18338.7596889734,18457.6829447184,18944.5471198289,20011.1900183883,21450.5533451662,22934.3894338244,23864.9258795379,23993.2709229667,23218.4598847357,22040.6482931414,21267.8135220693,20836.5072912094,20110.1099221793
R_LO2_ROI,12984.5853665128,17011.9163101376,19222.0547110394,19830.8440300553,20127.8064705146,20959.8095230778,22343.3163842648,23873.8763040561,25210.651282076,25864.2783312453,25597.2307022455,24824.959944044,23964.0263044933,23376.6419770488,22789.9976735538,21855.7858247254
R_PIT_ROI,11827.7406388839,15492.2489498465,18010.6463638921,18937.7520803855,19239.7223915258,19834.2394551924,20926.6505877403,22366.986439135,23977.9765643271,25229.2664540393,25703.9716299297,25162.9479662135,24214.1782173098,23394.5230679734,22817.6474184345,22057.660171147
R_MT_ROI,12802.2873848108,16501.7061831409,18876.8441605904,19821.3869288857,20379.8855740294,21139.7159918179,22186.0189892858,23318.4950957782,24314.0177407629,24885.6631096104,24772.7062820511,24000.7121127835,23134.0393718332,22470.4036588277,22027.0208624685,21212.8153908627
R_A1_ROI,7777.323566772,10570.5718840449,14263.3341723597,17192.2134140471,18253.0339781951,18472.4834846381,18961.3844296521,19939.9870476331,20823.860973181,21175.3053498059,20783.0530061886,19766.9502117004,18821.5406417127,18201.5317200497,18134.8212157101,17755.208211871
R_PSL_ROI,11610.8513489684,15339.8476516662,17736.7170967296,18271.8968660411,18448.7654762547,19123.4044833995,20151.8742789755,21247.4566925713,22150.4325706601,22640.8898230359,22623.7956356487,22188.5286112125,21695.2570600977,21316.3064824733,21088.5264823934,20543.6231694926
R_SFL_ROI,9056.93524780711,12425.7508581795,15632.2366194777,16834.9401444037,16862.0389020373,16885.5300510752,17192.2759417615,17772.2643171412,18365.1301767527,18767.6432954913,18927.7726954534,18795.2777088859,18491.8278358994,18091.4992708942,17820.6747898959,17451.5301813392
R_PCV_ROI,10489.5014504977,13905.6067080667,16412.9984477506,17473.635351581,17856.9801843337,18193.4855612191,18807.2269904092,19678.2892782668,20511.0053621856,21079.0917454682,21365.9982680956,21327.6730009252,20933.4560835186,20372.0748554535,19921.2276787587,19551.0829277091
R_STV_ROI,10655.4532226272,14305.8412945634,17360.6020859417,17991.1341101804,17817.8715365459,18087.0493758767,18871.3302738522,19989.7787758191,20932.0832196443,21435.8504296077,21504.2712253449,20981.9561730729,20286.3806085249,19864.0450497342,19828.4598670204,19395.1816627622
R_7Pm_ROI,10534.5262195661,14657.0510659205,17814.975215572,18919.2792271621,19236.1454479553,19702.6921919634,20641.6840041544,21983.7771608605,23340.3958341446,24284.4054474121,24756.5335545426,24677.1413031326,23959.825757157,23177.143059262,22691.1954696469,21864.0627452336
R_7m_ROI,11610.9867030181,14827.3849932042,16887.8234497172,17919.0153801234,18447.0921827085,19025.6292570109,19791.8845273491,20652.8721316598,21515.9246850131,22195.2175761818,22583.3940829487,22597.238468814,22140.3492554079,21361.242719959,20796.3062041021,20249.9652303066
R_POS1_ROI,10483.1504452181,13830.9942222934,15846.1966987653,16394.7563795353,16472.3494015593,16691.9816388916,17220.6971401047,18013.553792107,18830.1923134861,19492.4661577821,19908.040569281,20002.5094938641,19648.3045697214,18937.5489818247,18345.5219412163,17914.6282609493
R_23d_ROI,10253.3036101963,13341.172290503,15869.3186736832,17114.893018625,17503.0082790016,17717.337033544,18017.5418637655,18467.1144192286,18938.058235173,19299.1272319972,19513.5227561014,19508.7690203408,19286.1467142042,19090.5448113957,18851.824049456,18248.8001427266
R_v23ab_ROI,12163.0055438359,15363.8009434031,17236.8561051948,17644.5664037477,17673.9605955675,18056.2780069877,18577.0350217057,19209.5785606415,19758.2530102404,20164.5530848527,20387.876848356,20288.9575808876,19969.4268362502,19563.0526893664,19361.6644132468,18791.1352136971
