region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15,intensity_at_surface_16
17Networks_LH_DefaultC_Rsp_1,10459.4001783629,12862.3967485801,15099.2009511163,16277.4194689989,16763.0958660745,17081.321113619,17572.6624674502,18279.3781574379,19000.4573038484,19483.4119807781,19680.9928471586,19625.4049613817,19390.3230610478,19031.3344905221,18657.2383681117,18020.7160040125
17Networks_LH_DefaultC_Rsp_2,11077.6856297229,14180.6969183167,16127.0920380694,16813.9310001385,17172.0019108742,17611.7031127438,18284.0414116432,19072.5992846545,19795.1407152069,20317.7938347265,20541.8696691666,20482.5439906847,20216.0729990394,19930.467444754,19677.7510897706,19109.1020586291
17Networks_LH_DefaultC_Rsp_3,11456.6916577476,14606.2084262314,16573.2639117694,17272.6850164618,17485.2651438419,17821.1010205617,18412.7365129138,19142.8134531267,19942.5312079291,20596.0851401052,20939.5090585821,20840.0782543426,20367.9164210289,19595.3911586627,18855.1024867878,18222.9986428861
17Networks_LH_DefaultC_PHC_1,10607.7725695646,13094.8004761407,14816.4422815117,15600.2269473,15947.3310378324,16234.7608573109,16677.2233855386,17003.0367832611,17097.0139317555,17074.7160401508,17127.2017962223,17287.5170764887,17256.5476820157,17145.9262035365,17073.2406673245,16713.9681551409
17Networks_LH_DefaultC_PHC_2,10757.4699425037,14011.0057328776,16362.9349878689,16973.892007438,16852.3737546608,16866.5088639187,17284.9980637033,18071.3945552904,18921.535830185,19543.3081380887,19891.5218371396,19902.2359786491,19621.3647714998,19371.1817437687,19206.7005781809,18661.8352622
17Networks_LH_DefaultC_PHC_3,11582.5334149896,13494.8930315665,14818.9868947478,15356.6829204123,15847.8561060767,16552.9577128507,17319.0709205704,17992.1310346706,18511.7955894944,18823.6853791465,19060.1956883678,19237.4329797031,19199.1815492243,19117.3987514364,18789.2002582008,18156.9294629304
17Networks_LH_TempPar_1,11890.9459861333,15710.1155671,17903.0739351406,18128.3876988398,17954.4104232642,18186.969966142,18867.73095886,19748.0078252626,20552.9829659945,21138.8172812084,21431.3780142885,21285.55603828,20930.4311384226,20611.1458900999,20318.577949153,19794.8145242189
17Networks_LH_TempPar_2,12235.7798225858,15709.4747379136,17863.5114748001,18262.4024591033,18186.6695763102,18387.5090426719,18917.6199661461,19642.6598853362,20339.612828446,20871.0077882821,21024.5242267899,20939.4029193709,20683.2564570831,20307.918642301,20139.8467286782,19685.9971186295
17Networks_LH_TempPar_3,11006.9588437092,14532.1595743563,16955.6443644613,17442.4185612334,17394.2609587902,17731.1051307757,18479.0002663656,19423.1930272988,20252.281471917,20942.8308557642,21070.3054054429,20680.7394266806,20254.5961380332,20019.7565511281,19924.7033584519,19530.1175181847
17Networks_LH_TempPar_4,12231.1151190924,15482.8787733531,16725.1600742387,16792.0538417761,16897.3787421286,17386.0148960976,18230.6911389657,19128.8805396474,19914.9021237212,20321.7542731572,20355.5996267182,19983.8351992704,19371.0365219212,18822.0666712815,18408.7810343474,17631.2087723304
17Networks_LH_TempPar_5,12625.9667447216,16129.5675187758,18004.1394820066,18552.3664863855,18694.1257603234,19187.9996525116,20091.430821768,21245.3472883774,22425.8073502534,23205.5173638391,23374.2252819904,22891.2521008247,22305.0933870083,21941.9214181395,21574.6307021781,20734.4361993783
17Networks_LH_TempPar_6,12009.5857009696,15400.7207029633,17556.3864452507,18035.9282261608,18137.1875818623,18666.7448081224,19661.4174093912,20857.8122986153,21883.9982412443,22511.3521420392,22612.4800329387,22105.7970727297,21431.2448612767,20896.7310425653,20606.3699570892,20093.5963432821
17Networks_RH_VisCent_ExStr_1,11994.9281280616,14975.3816249862,17282.7261896633,18043.9068985579,18229.9124504027,18645.3068752388,19691.6024548616,21271.0283150609,23056.9726956711,24565.9592403186,24976.5145688604,24182.3632674239,23216.0592720722,22549.3861064192,22160.5002221286,21374.9984352152
17Networks_RH_VisCent_ExStr_2,12450.9216773135,15846.9556768154,18190.0264548357,19004.5829424891,19179.0046517902,19612.5542971078,20559.6705317893,21945.3578942743,23566.6682450484,24933.9262868756,25539.1514979337,24972.4379677521,24090.2065948189,23268.5879129249,22676.9402941678,21874.8053610226
17Networks_RH_VisCent_ExStr_3,11535.0403967807,14912.8887507789,17673.7794691136,18950.1290479368,19440.9976670232,19966.4875230231,20950.6376600571,22395.3436020122,24047.7326682178,25482.1995475601,26054.0307550484,25587.6086354284,24446.1016158537,23218.5233783872,22426.2092789141,21479.1880160329
17Networks_RH_VisCent_ExStr_4,11922.1819447046,15423.1261642244,18041.5576092198,19252.8088179718,19798.927931455,20345.7629888627,21141.3933147629,22124.1426461957,23175.4986487082,24090.9514434544,24541.5154391536,24317.7068014455,23470.0748604825,22371.7778868497,21461.3242714195,20267.5349047872
17Networks_RH_VisCent_ExStr_5,12723.137950562,16516.7850423811,18779.6590923958,19542.5914282017,19891.3559534842,20562.0587125026,21751.6376679464,23140.3500837046,24433.3501143502,25239.3410338708,25292.3052089559,24646.5592605899,23700.3106859966,22989.5925692099,22370.7509962195,21499.7416145132
17Networks_RH_VisCent_ExStr_6,11560.5341230934,15112.5006930025,17749.3956603615,19022.9512405421,19696.0919200193,20342.8544429466,21122.1587524927,21908.6920757992,22637.4490034732,23248.1297064218,23536.5590603782,23266.0799291132,22417.8336873619,21411.0949943927,20809.3031015135,19904.6313256182
