region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15
63,17596.0197244083,17761.9784286185,17709.9038308835,18108.1479983389,18813.6369589638,19666.4542010946,20464.8578809523,20773.2117646039,20337.6062592633,19884.8672243324,19802.1534170692,19725.9501934539,19365.1946998222,18822.5281979603,18136.4514134017
64,17461.765255332,17149.8571610599,16887.7892747576,17325.5583808824,18335.1601280009,19694.0691346624,20675.5770758675,21418.8335464574,20972.8603113512,20289.7169585877,19653.7898514086,19229.5807109992,19081.9562724874,18919.9376526032,18107.1078110215
65,18367.2158667918,18142.7612482355,17889.4999608971,18297.5561074147,19463.7927451888,20674.2162112455,21577.0653218033,22151.5185945768,21766.4303233973,21180.7291650142,20587.7224738164,20097.1681536266,19858.225435696,19784.5333337094,19120.8108727675
66,16447.521186803,16010.543480348,15663.2646832407,15901.5350320628,16484.3514245184,17274.4097501797,18050.0817608466,18524.1747366895,18281.0183488013,17859.6045011028,17501.8800717141,17211.5553184393,17004.0919902467,16756.5468006938,16154.6071155659
67,17153.0364355553,17667.3941366322,17827.1267312654,18372.0712028806,19264.2994412767,20310.8124514835,21128.2860971008,21303.1559773948,20894.2856444118,20335.2243560862,20106.4701503153,19645.4764186773,19208.8587822132,18951.3273675827,18405.8854811558
68,18962.5960132634,19055.7808090585,18833.6480887699,19251.2572037751,20378.9448710786,21948.6294077555,23442.1383704736,24137.3940640607,23478.0003597979,22290.4450864008,21536.1852055412,21131.507420946,20924.7833666369,20777.9987922683,20161.2326373521
69,18078.8110085544,17548.2756227074,16872.2920117979,16840.807147248,17549.663009253,18720.0407034356,20012.3336362575,20582.8042271628,20250.5977393993,19826.400063071,19674.6944139527,19567.4564066323,19568.5583099566,19353.9026207588,18793.6221883046
70,17306.8805467493,17187.1443054886,17064.4357857304,17669.9962742059,18616.9163115525,19780.4122753482,20911.8298366357,21403.8583768442,20964.0556033492,20373.9235351742,20000.0130613522,19711.8141204002,19533.6273133422,19385.1316726085,18691.9229238498
71,16644.458601216,16888.8746287614,16763.1539470581,17055.2721408917,17638.5370279501,18460.4371111421,19414.3651565472,20059.7033004365,19900.6831874758,19662.6009668209,19533.3736407434,19479.8284087739,19312.3863399438,19056.4077770722,18543.9478502371
72,18745.7496111662,17954.6058759944,17348.1423750188,17487.3355442258,18339.153358157,19496.0307981983,20526.8372761836,21240.9998916547,20742.5951089869,20251.5231484343,20126.0849719334,20222.0555544967,20364.0654981261,20184.2540440878,19360.4485988272
